roof_id,filename,n_points_total,n_segments,n_planes_used,n_gabled_pairs,mean_slope_deg,roof_type_guess
10444144,10444144.laz,1403,4,4,4,12.92,Complex_gabled
10468485,10468485.laz,1991,4,4,4,9.45,Complex_gabled
10479436,10479436.laz,1571,4,4,4,12.16,Complex_gabled
10493889,10493889.laz,3506,4,4,4,8.36,Complex_gabled
10519144,10519144.laz,2567,2,2,1,6.52,Gabled
10529360,10529360.laz,2571,2,2,1,6.0,Gabled
10529379,10529379.laz,2561,2,2,1,5.66,Gabled
10539242,10539242.laz,1080,4,4,3,9.73,Complex_gabled
10565839,10565839.laz,514,2,2,1,0.66,Flat-ish
10566010,10566010.laz,610,2,2,1,20.34,Gabled
182127736,182127736.laz,3663,4,4,3,10.84,Complex_gabled
182130478,182130478.laz,1431,2,2,0,0.22,Flat-ish
182148687,182148687.laz,1500,6,6,6,24.94,Complex_gabled
182172235,182172235.laz,18538,9,9,20,6.31,Complex_gabled
182211613,182211613.laz,1154,4,4,4,9.13,Complex_gabled
182213209,182213209.laz,3732,4,4,4,7.26,Complex_gabled
182217581,182217581.laz,2518,2,2,1,1.76,Flat-ish
182218669,182218669.laz,4005,2,2,1,1.83,Flat-ish
182221864,182221864.laz,3215,4,4,4,16.98,Complex_gabled
182249068,182249068.laz,2301,2,2,1,27.03,Gabled
182250287,182250287.laz,2762,2,2,1,4.58,Flat-ish
182251224,182251224.laz,3674,2,2,1,1.05,Flat-ish
182251399,182251399.laz,4449,4,4,4,11.47,Complex_gabled
182251615,182251615.laz,3642,4,4,4,13.23,Complex_gabled
182274798,182274798.laz,4121,6,6,8,10.09,Complex_gabled
182278629,182278629.laz,1644,4,4,3,6.66,Complex_gabled
182280240,182280240.laz,521,4,4,1,44.86,Gabled
182282537,182282537.laz,2312,4,4,4,11.02,Complex_gabled
182285463,182285463.laz,4324,6,6,8,3.45,Flat-ish
182286044,182286044.laz,2061,2,2,1,21.03,Gabled
182286796,182286796.laz,2491,4,4,4,17.42,Complex_gabled
182292761,182292761.laz,1134,4,4,4,13.01,Complex_gabled
182294063,182294063.laz,1494,8,8,16,10.59,Complex_gabled
182307580,182307580.laz,1702,4,4,4,4.17,Complex_gabled
182311324,182311324.laz,4134,2,2,1,26.76,Gabled
182314838,182314838.laz,859,2,2,1,0.85,Flat-ish
182337978,182337978.laz,2505,3,3,0,3.86,Unknown
182379476,182379476.laz,2605,2,2,1,0.59,Flat-ish
182380105,182380105.laz,2242,2,2,1,1.99,Flat-ish
182388971,182388971.laz,1668,6,6,9,14.07,Complex_gabled
182390828,182390828.laz,1586,4,4,3,17.05,Complex_gabled
182461407,182461407.laz,1463,4,4,4,3.02,Flat-ish
182461857,182461857.laz,3411,4,4,3,7.08,Complex_gabled
182486507,182486507.laz,7653,4,4,4,4.95,Complex_gabled
182703230,182703230.laz,1109,4,4,4,11.58,Complex_gabled
182744999,182744999.laz,1787,2,2,1,5.95,Gabled
196077111,196077111.laz,753,2,2,0,0.37,Flat-ish
21028401,21028401.laz,1665,4,4,4,20.63,Complex_gabled
21062618,21062618.laz,3506,4,4,3,13.86,Complex_gabled
300426167,300426167.laz,895,2,2,1,17.29,Gabled
